tile_id,row,column,palette_index,palette_id,palette_name,sku,piece_type,piece_fraction,bounding_width_in,bounding_height_in,clipped_edges,vertices_in
placement-000484,12,1,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,left,0.921875000 10.214916618;0.421875000 10.503591752;0.000000000 10.260022107;0.000000000 9.592460859;0.421875000 9.348891214;0.921875000 9.637566348
placement-000527,12,44,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,right,46.000000000 10.440444067;45.609375000 10.214916618;45.609375000 9.637566348;46.000000000 9.412038900
placement-000528,13,1,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,left,0.390625000 11.135068609;0.000000000 11.360596058;0.000000000 10.332190891;0.390625000 10.557718340
placement-000571,13,44,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,right,46.000000000 11.180174099;45.578125000 11.423743744;45.078125000 11.135068609;45.078125000 10.557718340;45.578125000 10.269043205;46.000000000 10.512612850
placement-000572,14,1,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,left,0.921875000 12.055220601;0.421875000 12.343895735;0.000000000 12.100326090;0.000000000 11.432764842;0.421875000 11.189195197;0.921875000 11.477870331
placement-000615,14,44,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,right,46.000000000 12.280748050;45.609375000 12.055220601;45.609375000 11.477870331;46.000000000 11.252342883
placement-000616,15,1,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,left,0.390625000 12.975372592;0.000000000 13.200900041;0.000000000 12.172494874;0.390625000 12.398022323
placement-000659,15,44,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,right,46.000000000 13.020478082;45.578125000 13.264047727;45.078125000 12.975372592;45.078125000 12.398022323;45.578125000 12.109347188;46.000000000 12.352916833
placement-000660,16,1,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,left,0.921875000 13.895524584;0.421875000 14.184199718;0.000000000 13.940630074;0.000000000 13.273068825;0.421875000 13.029499180;0.921875000 13.318174315
placement-000703,16,44,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,right,46.000000000 14.121052033;45.609375000 13.895524584;45.609375000 13.318174315;46.000000000 13.092646866
placement-000704,17,1,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,left,0.390625000 14.815676575;0.000000000 15.041204024;0.000000000 14.012798857;0.390625000 14.238326306
placement-000747,17,44,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,right,46.000000000 14.860782065;45.578125000 15.104351710;45.078125000 14.815676575;45.078125000 14.238326306;45.578125000 13.949651171;46.000000000 14.193220816
placement-000748,18,1,1,P02,White,,edge_cut,0.943847656,0.921875000,1.154700538,left,0.921875000 15.735828567;0.421875000 16.024503701;0.000000000 15.780934057;0.000000000 15.113372808;0.421875000 14.869803163;0.921875000 15.158478298
placement-000791,18,44,1,P02,White,,edge_cut,0.362141927,0.390625000,1.028405167,right,46.000000000 15.961356016;45.609375000 15.735828567;45.609375000 15.158478298;46.000000000 14.932950849
placement-000792,19,1,1,P02,White,,edge_cut,0.092921114,0.390625000,0.318772160,left;bottom,0.390625000 16.171875000;0.000000000 16.171875000;0.000000000 15.853102840;0.390625000 16.078630289
